14_1,14_1,14_2,14_2,14_3,14_3,15_1,15_1,15_2,15_2,15_3,15_3
"mend v. 修理,修补",mend ,modern a. 现代的,modern ,my pron. 我的,my ,nine num. 九,nine ,"obtain vt. 获得,得 到 ",obtain ,order n. 顺序,order 
,,,,,,,,obvious a. 显然,obvious ,,
,,,,,,,,"occupation n.职业,工作",occupation ,,
,,,,,,,,"occupy vt.占领,占据",occupy ,ordinary adj. 普通的,ordinary 
"mental a. 精神的,脑力的",mental ,"modest a. 谦虚的,谦逊的",modest ,myself pron. 我自己,myself ,ninety num. 九十,ninety ,occur vi. 发生,occur ,organ n. 器官,organ 
"mention n. 提及,记载 vt. 提到,说起, 提名表扬",mention ,"moment n. 片刻,瞬间",moment ,,,ninth num. 第九,ninth ,ocean n. 海洋,ocean ,organise/organize vt. 组织,organise/organize 
menu n. 菜单,menu ,Monday n. 星期一,Monday ,"nail n. 钉,钉子",nail ,"no ad. 不,不是 a.没有,无,不",no ,October n. 十月,October ,"organization / organisation n. 组织,机构 ",organization 
"merchant a. 商业的,商人的 n. 商人,生 意人",merchant ,"money n. 钱,货币",money ,"name n. 名字,姓名,名称",name ,"noble a. 高贵的,贵族的",noble ,of prep.属于。。的,of ,"origin n. 产地,起源",origin 
mercy n. 怜悯,mercy ,"monitor n.(班级内的)班长,纠察生,监 视器",monitor ,,,"nobody n. 渺小人物 pron. 没有人,谁也 不",nobody ,"off prep. 离开,脱离,(走)开 ad.离开,(电、自来水)停了,中断",off ,"other a. 别的,其他的 pron. 另一个人(或 事)",other 
"merely ad. 仅仅,只不过",merely ,,,narrow a. 狭窄的,narrow ,nod vi. 点头,nod ,"offer n.& vt. 提供, 主动提出,.出价",offer ,"otherwise ad. 要不然,否则,另样",otherwise 
"merry a. 高兴的,愉快的",merry ,monkey n. 猴子,monkey ,"nation n. 民族,国家",nation ,"noise n. 声音,噪声,喧闹声",noise ,office n. 办公室,office ,"ought v.& aux. 应该,应当",ought 
"mess n. 杂乱,混乱",mess ,,,"national a. 国家的,全国性的,民族的 ",national ,,,"officer n. 军官,公务员,官员,警察,警 官",officer ,,
,,,,nationality n. 国籍,nationality ,make a noise 发出噪声/喧闹声 ,make ,"official n.(公司、团体或政府的),官员 , 高级职员",official ,our pron. 我们的,our 
