04_1,04_1,04_2,04_2,04_3,04_3,05_1,05_1,05_2,05_2,05_3,05_3
"break (broke,broken)v.",break ,button n. 纽,button ,"carrier n. 搬运者,媒介, ",carrier ,,,,,,
,,,,carrot n.胡萝卜,carrot ,,,,,,
breakfast n. 早餐,breakfast ,"buy (bought,bought) by prep 在......旁,",buy ,"carry vt. 拿,搬,运等",carry ,,,,,,
,,,,"cart n. 运货马车,手推车 ",cart ,,,,,,
,,,,"cartoon n. 动画片,卡通,漫画",cartoon ,,,,,,
"breakthrough n. 突破,进展 ",breakthrough ,bye 再见,bye ,carve v.雕刻,carve ,,,,,,
,,,,,,,,,,,
breast n. 胸脯,breast ,cab n.(美),cab ,"case n. 情况,病例,案件 ",case ,,,,,,
,,,,"cash n. 现金,现钞",cash ,,,,,,
"breath n. 气息,呼吸 ",breath ,"cabbage n. 卷心菜,洋白菜 ",cabbage ,cast v. 投掷; 投射; ,cast ,,,,,,
,,"cafe n. 咖啡馆, 餐馆",cafe ,castle n. 城堡,castle ,,,,,,
,,cafeteria n. 自助餐厅,cafeteria ,casual adj 随便的,casual ,,,,,,
breathe vi. 呼吸,breathe ,"cage n 笼,鸟笼",cage ,cat n. 猫,cat ,,,,,,
"brick n. 砖,砖块",brick ,"cake n. 蛋糕,糕点,饼 ",cake ,catastrophe n. 大灾难; 悲剧的结局 ,catastrophe ,,,,,,
,,,,"catch (caught,caught) v. 接住,捉住, 染上(疾病)",catch ,,,,,,
,,calculate vt. 计算,calculate ,"category n. 种类,类别,类目",category ,,,,,,
bride n. 新娘,bride ,"call n. 喊,叫,电话,通话",call ,"cater vt. 满足需要; 投合,迎合",cater ,,,,,,
bridegroom n. 新郎,bridegroom ,,,,,,,,,,
bridge n. 桥,bridge ,"calm a. 镇静的, 沉着的",calm ,"cattle n. 牛(总称),家畜 ",cattle ,,,,,,
brief a. 简洁的,brief ,,,,,,,,,,
"bright a. 明亮的,聪明的",bright ,camel n. 骆驼,camel ,"cause n. 原因,起因",cause ,,,,,,
"bring (brought, brought)",bring ,,,caution n. 小心;谨慎,caution ,,,,,,
"Britain ▲n. 英国,不列颠",Britain ,"camera n. 照相机,摄像机 ",camera ,cautious a.小心谨慎的,cautious ,,,,,,
"Britisha. 英国的,大不列颠的,英国人 的",Britisha. ,camp n. (夏令)营,camp ,"cave n. 洞,穴,地窖",cave ,,,,,,
"broad a. 宽的,宽大的",broad ,campaign n. 运动;战役 ,campaign ,"ceiling n. 天花板,顶棚",ceiling ,,,,,,
"broadcast ( broadcast, broadcast 或 ed,ed)vt.广播 n. 广播节目",broadcast ,"can aux. 可能,能够",can ,celebrate v. 庆祝,celebrate ,,,,,,
broom n. 扫帚,broom ,,,"celebration 庆祝,庆典",celebration ,,,,,,
"brother n. 兄,弟",brother ,"could can v. 不可能,不能够,",could ,cell 牢房,cell ,,,,,,
"brown n. 褐色,棕色",brown ,Canada n. 加拿大,Canada ,cent n.美分(100 cents =1 dollar) ,cent ,,,,,,
,,,,centigrade 摄氏的,centigrade ,,,,,,
,,"Canadian a. 加拿大的,加拿大人的 n. 加拿大人",Canadian ,"centimeter (美 centimeter) n. 公分, 厘米",centimeter ,,,,,,
brunch n. 早午餐,brunch ,cancel vt. 取消,cancel ,"central 中心的,中央的,主要的 ",central ,,,,,,
,,,,"centre /center n. 中心,中央",centre ,,,,,,
,,cancer n. 癌,cancer ,"century n. 世纪,百年",century ,,,,,,
brush v. 刷子,brush ,candidate n. 候选人,candidate ,"ceremony n. 仪式,典礼",ceremony ,,,,,,
"bucket n. 铲斗,桶",bucket ,candle n. 蜡烛,candle ,"certain a. (未指明真实名称的)某......,",certain ,,,,,,
"budget n.预算,预算案",budget ,candy n. 糖果,candy ,,,,,,,,
"build (built, built) v. 建筑,造 ",build ,canteen n. 小卖部;小饭馆,canteen ,"certainly ad. 当然,是的,一定,无疑 ",certainly ,,,,,,
,,,,"certificate n. 证明,证明书",certificate ,,,,,,
"building n. 建筑物,房屋,大楼",building ,"cap n. (无檐的或仅在前面有檐的)帽子,",cap ,"chain n. 链, 链条",chain ,,,,,,
"bunch n.(一)球,束,串",bunch ,,,chair n. 椅子,chair ,,,,,,
"burden n. 负担,包袱;",burden ,capital n. 首都;大写;资本,capital ,"chairman n. 主席,会长,议长 ",chairman ,,,,,,
,,,,"chairwoman n. 女主席, 女会长,女议长",chairwoman ,,,,,,
,,,,chalk n. 粉笔,chalk ,,,,,,
"burn ( burnt,burnt)",burn ,"captain n. (海军)上校,船长,舰长, 队长",captain ,challenge n.挑战(性),challenge ,,,,,,
,,"car n. 汽车,小卧车",car ,"champion n.冠军,优胜者",champion ,,,,,,
,,"carbon n. 碳 卡片,",carbon ,"chance n. 机会,可能性",chance ,,,,,,
,,"card n.名片,纸牌",card ,"change n. 零钱,找头;",change ,,,,,,
,,"care n. 照料,保护,小心",care ,,,,,,,,
"burst v. 突然发生, 突然发作",burst ,,,,,,,,,,
"bury vt. 埋,葬",bury ,,,,,,,,,,
bus n. 公共汽车,bus ,"careful a. 小心的,谨慎的",careful ,,,,,,,,
"bush n. 灌木丛,矮树丛",bush ,"careless a. 粗心的,漫不经心的 carpet n. 地毯",careless ,,,,,,,,
"business n 生意,交易 ",business ,"carriage n. 四轮马车,(火车)客车厢",carriage ,,,,,,,,
businessman /woman n.(男)商人/企业家,businessman ,,,,,,,,,,
busy a. 忙(碌)的,busy ,,,,,,,,,,
"but conj. 但是,可是",but ,,,,,,,,,,
"butcher n. 肉店,屠夫",butcher ,,,,,,,,,,
"butter n. 黄油,奶油 ",butter ,,,,,,,,,,
butterfly n. 蝴蝶,butterfly ,,,,,,,,,,
