序号,英文,词意,序号,英文,词意
1,painter,n. 绘画者，（油）画家,70,persuade,vt. 说服，劝说
2,painting,n. 油画，水彩画,71,pet,n. 宠物，爱畜
3,pair,n. 一双，一对,72,petrol,n. 石油
4,palace,n. 宫，宫殿,73,phenomenon,现象
5,pale,a. 苍白的，灰白的,74,phone,"v.打电话 n.电话,电话机"
6,pan,n. 平底锅,75,photo/photograph,n. 照片
7,panda,n.熊猫,76,phrase,n. 短语，习惯用语
8,panic,n.恐惧 vt. 使。。。恐惧,77,physical,a. 身体的，物理的
9,paper,n. 纸，报纸,78,physician,n.（有行医执照的）医生
10,paperwork,n.日常文书工作,79,physics,n. 物理（学）
11,paragraph,n. （文章的）段落,80,pianist,n.钢琴家
12,parallel,adj.平行的,81,piano,n. 钢琴
13,parcel,n. 包裹,82,pick,v. 拾起，采集，挑选
14,pardon,n. 原谅，宽恕，对不起,83,picnic,"n.& v.（pinicked,picnicked）野餐"
15,parent,n. 父(母)，双亲,84,picture,n. 图片，画片，照片
16,Paris,n. 巴黎,85,pie,n. 甜馅饼
17,park,n. 公园,86,piece,n. 一块（片，张，件……）
18,park,vt.停放（汽车）,87,pig,n. 猪
19,parking,n. 停车,88,pile,n. 堆
20,parrot, n.鹦鹉; 应声虫，学舌者; ,89,pill,n. 药丸，药片
21,part,n.部分，成分，角色，部件，零件局部的，部分的 v. 分离，分开，分割,90,pillow,n. 枕头
22,Participate,vi. 参与，参加,91,pilot,n. 飞行员
23,particular,a. 特殊的，个别的,92,pin,"n. 别针 v. 别住, 钉住"
24,partly,ad. 部分地，在一定程度上,93,pineapple,n. 菠萝
25,partner,n. 搭档，合作者,94,pink,a.粉红色的; n. 粉红色
26,part-time,adj.&adv 兼职的（地）,95,pioneer,n. 先锋，开拓者
27,party,n.聚会，晚会，党派,96,pipe,n. 管子，输送管
28,pass,vt.传，递，经过，通过,97,pity,n. 怜悯，同情
29,passage,n. （文章等的）一节，一段，通道， 走廊,98,place,n. 地方，处所 v. 放置，安置，安排
30,passenger,n. 乘客，旅客,99,plain,a. 家常的， 普通的
31,passer-by,n. 过客，过路人,100,plan,n.& v. 计划，打算
32,passive,a. 被动的,101,plane,(aeroplane)n.飞机
33,passport,n. 护照,102,planet,n. 行星
34,past,ad. 过 n. 过去，昔日，往事prep. 过……，走过某处,103,plant,vt. 种植，播种 n. 植物
35,path,n. 小道，小径,104,plastic,a. 塑料的
36,patience,n. 容忍， 耐心,105,plate,n. 板，片，牌，盘子，盆子
37,patient,n. 病人,106,platform,n. 讲台，（车站的）月台
38,pattern,n. 式样,107,play,v. 玩，打（球），游戏，播放 n. 玩耍，戏剧
39,pause,n.& vi. 中止，暂停，停止,108,player,n. 比赛者，选手
40,pavement,n. 人行道,109,playground,n. 操场，运动场
41,pay, v. 付钱，给……报酬 n. 工资,110,pleasant,a. 令人愉快的，舒适的
42,physical education, n. 体育,111,please,v. 请，使人高兴，使人满意
43,personal computer,人电脑,112,pleased,a. 高兴的
44,pea,n. 豌豆,113,pleasure,n. 高兴，愉快
45,peace,n. 和平,114,plenty,n. 充足，大量
46,peaceful,a. 和平的，安宁的,115,plot,n. 密谋，情节
47,peach,n. 桃子,116,plug,vt. 接上插头通电，以塞子塞住；插头，插座
48,pear,n. 梨子，梨树,117,plus,prep. 加，加上
49,peasant,n. 农民，佃农,118,pocket,n. （衣服的）口袋
50,pen,n. 钢笔，笔,119,poem,n. 诗
51,pencil,n. 铅笔,120,poet,n. 诗人
52,penny, n. （英）便士，美分,121,point,v. 指，指向 n. 点， 分数
53,pension,n.养老金,122,poison,n. 毒药
54,people,n. 人，人们，人民,123,pole,n. 杆，电线杆，
55,pepper,n. 胡椒粉,124,police,n. 警察，警务人员
56,per,prep. 每，每一,125,policy,"n.政策,方针,保险单"
57,percent,n. 百分之……,126,polite,a.有礼貌的，有教养的
58,percentage,n. 百分率,127,political,a.政治的
59,perfect,a. 完美的，极好的,128,politician,n.政治家
60,perform,v. 表演，履行，行动,129,politics,n.政治
61,performance,n. 演出，表演,130,pollute,vt.污染
62,perfume,n. 香水，香味,131,pollution,n.污染
63,permanent,adj. 永久的,132,pond,n.池塘
64,period,n. 时期，时代,133,pool,n.水塘，水池
65,permission,n. 允许，许可，同意permit vt. 许可，允许 n. 许可证，执照,134,poor,"a.贫穷的，可怜的，不好的,差的"
66,person,n. 人,135,popular,"a.(口语)（音乐、艺术等）大众的，通俗的,受欢迎的"
67,personal,a. 个人的，私人的,136,population,n. 人口，人数
68,personally,ad. 就自己而言,137,pork,n. 猪肉
69,personnel,n. 人员，员工，人事部门,138,port,n. 港口，码头
