1,connect,vt. 连接，把……联系起来,69,cross,n. 十字形的东西 vt. 越过，穿过
2,connection,n连接物，接触，联系 保存，,70,crossing,n. 十字路口，人行横道
3,conscience,良心，良知,71,crowd,n. 人群 vt. 拥挤，群聚
4,consequence,n 结果，后果.,72,cruel,a. 残忍的，残酷的，无情的
5,conservation,（对环境的）保护，节约,73,cry,n. 叫喊，哭声 v. 喊叫，哭
6,consider,vt. 考虑,74,cube,l立方体
7,considerate,a. 体贴的,75,culture,n. 文化
8,consideration,n. 考虑，关心,76,cup,n. 茶杯
9,consist,v. 包含，组成，构成,77,cupboard,n. 碗柜，橱柜
10,consistent,adj.与。。。一致,78,cure,n. & vt. 治疗，医好
11,constant,a. 经常的，不断的，始终如一的，恒久的,79,curious,a. 好奇的，奇异的
12,constitution,n. 组成；构成,80,currency,n.货币，现金
13,construction,n. 建造，建设，建筑物,81,curtain,n. 窗帘
14,construct,v.建筑，创建,82,cushion,n. 垫子
15,consult,v.咨询，查阅,83,custom,n. 习惯，习俗，风俗习惯
16,cnsume,消耗，吃，喝,84,customer,n.（商店等的）顾客，主顾
17,contain,v. 包含，包括，能容纳,85,customs,n. 海关，关税
18,container,n. 容器,86,cut,"(cut, cut) v. n. 切，剪，削，割 伤口"
19,contemporary,同时代的，当代的,87,cycle,vi. 骑自行车
20,content,a. 甘愿的，满意的,88,cyclist,n. 骑自行车的人
21,continent,n.大陆，大洲，陆地,89,dad,爸爸
22,continue,vi. 继续,90,daily,a. 每日的，日常的 ad. 每天 n. 日报
23,contrary,n./ a.相反 相反的,91,dam,水坝，拦河坝
24,contribute,v. 贡献,92,damage,n.& vt. 毁坏，损害
25,control,vt.& n. 控制,93,damp,a. & n. 潮湿（的）
26,controversial,adj.有争议的,94,dance,n.& vi. 跳舞
27,convenience,n. 便利,95,danger,n. 危险
28,convenient,a. 便利的，方便的,96,dangerous,a.危险的
29,conversation,n. 谈话，交谈,97,dare,v.& aux.（后接不带to的不定式，主要用于疑问，否定或条件句）敢，敢于
30,convey,传递，表达,98,dark,n. 黑暗，暗处，日暮 a. 黑暗的，暗淡的，深色的
31,convince,说服，使···相信,99,darkness,n. 黑暗，阴暗
32,cook,n. 炊事员，厨师 v. 烹调，做饭,100,data,n. 资料，数据
33,cooker,n. 炊具(锅、炉灶、烤炉等),101,date,n. 日期，约会，.枣
34,cookie,曲奇饼干,102,daughter.,女儿
35,cool,a. 凉的，凉爽的，酷,103,dawn,n. 黎明，拂晓
36,cooperate,合作协助 copy n. 抄本，副本，一本（份，册……）v. 抄写，复印，（计算机用语）拷（备 份盘）,104,day,n. （一）天，（一）日，白天
37,corn,n. 玉米，谷物,105,dead,死的，枯萎的
38,corner,n. 角，角落，拐角,106,deadline,n.截止日期，最后日期
39,corporation,n.法人，社团法人，公司,107,deaf,adj. 聋的
40,correct,v.改正，纠正 a. 正确的，对的，恰当的,108,deal,vi. 处理
41,cost,"(cost, cost) v. 值（多少钱），花费n.成本",109,dear,亲爱的，宝贝的，
42,cottage,n. (郊外的)小屋，村舍，别墅,110,death,死
43,cotton,n. 棉花 a. 棉花的,111,debate,n. & v.讨论，辩论
44,cough,n.& vi. 咳嗽,112,decade,十年
45,could,v.（can的过去式）可以……，,113,December,n. 十二月
46,count,vt. 数，点数,114,decide,v. 决定，下决心
47,counter,n. 柜台，结账处,115,decision,n. 决定，决心
48,country,n. 国家，农村，乡下,116,declare,vt. 声明，断言
49,countryside,n. 乡下，农村,117,decline,减少，衰落
50,couple,n. 夫妇，一对,118,decorate,vt.装饰，修饰
51,courage,n. 勇气， 胆略,119,decoration,n.装饰，修饰
52,course,n. 过程，经过，课程,120,excoriation,严厉指责，痛斥
53,court,n. 法庭，法院,121,decrease,降低，减少
54,courtyard,n. 庭院，院子,122,deed,n. 行为，事迹
55,cousin,n. 堂（表）兄弟，堂（表）姐妹,123, deep,a. 深 ad. 深，深厚
56,cover,n. 盖子，罩 v. 覆盖，遮盖，掩盖,124,defeat,vt. 击败，战胜
57,cow,n. 母牛，奶牛,125,defense,n. & v. 防御，防务
58,crash,vt.碰撞；坠落,126,defend,vt. 防守，保卫
59,crazy,a. 疯狂的,127,degree,n. 程度，度数，学位
60,cream,n. 奶油，乳脂,128,delay,v.& n. 拖延，延误，延迟，延期，耽搁
61,create,vt. 创造， 造成,129,delicate,易碎的，虚弱的，精细的
62,creature,n.生物，动物,130,delicious,a. 美味的，可口的
63,credit,n. 信用，信赖，信誉,131,delight,n. 快乐， 乐事
64,crew,全体工作人员(船员，乘务员),132,delighted,a. 高兴的，快乐的
65,crime,n. （法律上的）罪，犯罪,133,deliver,vt. 投递（信件，邮包等）
66,criminal,n.罪犯,134,demand,vt. 要求
67,criterion,(pl. criteria),,,
68,crop,n. 庄稼，收成,,,
