20_1,20_1,20_2,20_2,20_3,20_3,21_1,21_1,21_2,21_2,21_3,21_3,22_1,22_1,22_2,22_2,22_3,22_3
"silence n. 安静,沉默 ",silence ,snake n. 蛇 v. 蜿 蜒行进 ,snake ,"specialist n.(医学)专家,专科医生,专 业人员",specialist ,"steep a. 险峻的,陡峭的",steep ,"suggest vt. 建议,提 议",suggest ,"table n. 桌子,表格",table ,"terminal a. (火车,汽车,飞机的)终点 站",terminal ,three num. 三,three ,"top n. 顶部,(物体的)上面",top 
,,sneaker n 运动鞋,sneaker ,specific a. 特别的,specific ,"step n. 脚步,台阶,梯级 vi. 走 ",step ,suggestion n. 建议,suggestion ,,,"terrible a. 可怕的,糟糕的",terrible ,"thrill n.激动,紧张 v.颤抖",thrill ,"topic n. 题目,话题",topic 
,,,,,,step-mother n.继母,step-mother ,,,,,,,,,,
"silent a. 无声的,无对话的",silent ,sneeze v.打喷嚏 n 喷嚏 ,sneeze ,speech n. 演讲,speech ,"stick (stuck, stuck) vi. 粘住,坚持",stick ,suit vt. 适合 n. 一套(衣服),suit ,table tennis n. 乒乓球,table tennis,terrify vt.使人感到恐怖,terrify ,throat n. 喉咙,throat ,tortoise n.龟,tortoise 
"silk n. (蚕)丝,丝织品",silk ,sniff v.嗅 n 闻,sniff ,,,"n. 木棒(棍),枝条",n. ,"suitable a. 合适的,适宜的",suitable ,tail n. (动物的)尾巴,tail ,,,"through prep. 穿(通)过,从始至终",through ,"total a. 总数的,总括的,完全的,全然的 n. 合计,总计 v. 合计为",total 
"silly a. 傻的,愚蠢的",silly ,snow n. 雪 vi. 下雪,snow ,speed n. 速度 v. (使)加速,speed ,"still a. 不动的,平静的 ad. 仍然",still ,"suitcase n. (旅行用)提箱,衣箱 ",suitcase ,tailor n. 裁缝,tailor ,Terror 恐怖;恐怖行动,Terror ,"throughout prep. 遍及,贯穿",throughout ,,
,,,,,,,,"summary n. 摘要,概要",summary ,"take (took, taken) vt. 拿,拿走,做,服用, 乘坐,花费",take ,"test vt.& n. 测试, 考查,试验",test ,"throw (threw,thrown) v. 投,扔",throw ,"touch vt. 触摸,接触",touch 
silver n. 银,silver ,snowy a. 下雪的,snowy ,"spell (spelt/spelled, spelt/spelled) vt.拼写 spend (spent, spent) v. 度过,花费(钱、 时间等)",spell ,stocking n. 长袜,stocking ,"summer n. 夏天,夏季",summer ,,,"text n. 文本,课文",text ,"thunder n.& v. 雷声,打雷",thunder ,"tough a.坚硬的,结实的,棘手的,难解的 ",tough 
,,,,,,,,,,,,,,,,"tour n. 参观, 观光, 旅行",tour 
