17 - List1 Original,17_1,17 - List2 Original,17_2,17- List3 Original,17_3,18 - List1 Original,18_1,18 - List2 Original,18_2,18 - List3 Original,18_3,19 - List1 Original,19_1,19 - List2 Original,19_2,19 - List3 Original,19_3
Porter,Porter,price ,price ,pupil n. (小)学生 purchase vt. 购买,pupil ,"rather ad. 相当,宁可",rather ,"relevant adj. 紧 密 相关的,切题的 ",relevant ,"ride (rode, ridden) v. 骑(马、自行车), 乘车 n. 乘车旅行",ride ,"Sacred adj. 神圣的,宗教的 ",Sacred ,"secondhand n.二手货, 旧货",secondhand ,"shape n. 形状,外形 v. 使成型,制造,塑 造",shape 
,,,,,,,,,,,,sacrifice vt. 牺牲,sacrifice ,"secret n. 秘密,内情",secret ,"share vt. 分享,共同使用",share 
,,,,,,,,"reliable a. 可信赖的,可依靠的",reliable ,"ridiculous adj. 可笑的,荒谬的",ridiculous ,sad a.(使人)悲伤的 ,sad ,"secretary n. 秘书,书记",secretary ,"sharp a. 锋利的,尖的",sharp 
Position,Position,"pride n. 自豪,骄傲",pride ,"pure a. 纯的, 不掺杂的 ",pure ,"raw a.生的,未煮过的,未加工的,",raw ,"relief n 安慰,安心;缓和减低",relief ,"right n. 权利 a. 对,正确的,右,右边的 ad. 正确地,恰恰,完全地",right ,"sadness n. 悲哀,忧伤",sadness ,"section n 部门,地区 v.对...划分",section ,,
,,,,purple adj. 紫色的 n. 紫色,purple ,"ray n. 光辉,光线",ray ,religion n. 宗教,religion ,"ring (rang, rung) v.(钟、铃等)响,打电 话 n. 电话,铃声",ring ,"safe a. 安全的 n. 保险柜 safety n. 安全,保险",safe ,"secure n 安全的,没有危险的",secure ,"shave (shaved, shaved 或 shaven) v. 刮 (脸,胡子)",shave 
,,,,"purpose n. 目的,意图",purpose ,razor n. 剃须刀,razor ,religious a. 宗教的,religious ,"ripe a. 成熟的,熟的",ripe ,"sail n. 航行 v. 航行,开航 sailor n. 水手,海员 ",sail ,security n 安全 adj 安全的,security ,she pron. 她,she 
,,,,purse n. 钱包,purse ,"reach v. 到达,伸手(脚等)够到",reach ,"rely v 依赖,依靠,信任",rely ,"rise (rose, risen) vi. 上升,上涨",rise ,"salary n. 薪金,薪水",salary ,"see (saw, seen) vt. 看见,领会",see ,"sheep (复 sheep) n. (绵)羊,羊皮,驯服 者",sheep 
Possess,Possess,"primary a. 初等的,初级的",primary ,push n.& v. 推,push ,"react iv. 回应,反应",react ,"remain vt. 余下,留下 vi. 保持,仍是 ",remain ,risk vt. 冒险,risk ,"sale n. 卖,出售",sale ,seed n. 种子,seed ,,
Possession,Possession,"primitive adj. 原始的,早期的",primitive ,"put (put, put) vt. 放,摆",put ,"read (read, read) v. 读,朗读",read ,"remark n. 陈述,话,议论",remark ,"river n. 江,河,水道,巨流",river ,salesman n. ( pl salesmen)男售货员  ,salesman ,"seek (sought, sought) v.寻找, 探索,寻求",seek ,"sheet n. 薄片,床单",sheet 
,,,,,,,,,,,,,,"seem v. 似乎,好像",seem ,"shelf (复 shelves) n. 架子,搁板,格层, 礁,",shelf 
,,,,,,,,,,,,saleswoman n. (pl saleswomen)女售货员,saleswoman ,seize vt. 抓住(时机等),seize ,shelter n. 避难所,shelter 
,,,,,,,,,,,,salt n. 盐,salt ,"seldom ad. 很少,不常",seldom ,"shine (shone, shone) v. 发光,照耀 n.光泽,阳光,晴天",shine 
,,,,,,,,"remember v. 记得,想起",remember ,"road n. 路,道路",road ,"salty a. 盐的,咸的,含盐的",salty ,"select vt. 选择,挑选,选拔",select ,"ship n. 船,轮船 vi. 用船装运",ship 
Positive,Positive,"principle n. 原理,原则,定律",principle ,"puzzle n. 谜,难题 vt. 迷惑",puzzle ,ready a. 准备好的,ready ,"remind vt.提醒,使记起",remind ,roast v. 烤(肉),roast ,same n. 同样的事 a 同样的,same ,selfish adj 自私的,selfish ,shirt n. 男衬衫,shirt 
Possibility,Possibility,print vt. 印刷,print ,pyramid n. 金字塔,pyramid ,"real a. 真实的,确实的",real ,remote a.遥远的,remote ,"rob v.抢夺,抢劫",rob ,"sand n. 沙,沙子",sand ,"sell (sold, sold) v. 卖,售",sell ,shock vt.使震惊,shock 
possible,possible,prison n. 监狱,prison ,quake n. 地震 vi. 震动,quake ,reality n. 现实,reality ,"remove vt. 移动,拿走,脱掉(衣服等) ",remove ,robot n.机器人,robot ,sandwich n. 三明治(夹心面包片) ,sandwich ,"send (sent, sent) v. 派遣,邮寄",send ,shoe n. 鞋,shoe 
,,,,,,,,,,,,satellite n. 卫星,satellite ,"senior a. 年长的,资深的,高年级的 n.上 级,长辈,高年级生",senior ,"shoot n. 嫩枝, 苗",shoot 
possibly,possibly,prisoner n. 囚犯,prisoner ,"qualification n. 资格,学历",qualification ,"realize/realize vt.认识到,实现",realize/realize ,rent n.& v. 租金,rent ,"rock n. 岩石,大石头 vt. 摇,摇晃",rock ,satisfaction n. 满意,satisfaction ,"sense n. 感觉,意识",sense ,"shot n. 射击,开炮,子弹 ",shot 
,,,,,,,,"repair n.& vt. 修理,修补",repair ,rocket n. 火箭,rocket ,"satisfy vt. 满足,使满意",satisfy ,"sensitive adj 敏感的,神经过敏的",sensitive ,,
,,,,,,,,,,,,,,,,"shop vi. 买东西 n. 商店,车间",shop 
,,,,,,,,,,,,,,,,"shore n. 滨,岸",shore 
post ,post ,private a. 私人的,private ,"quantity n. 量,数",quantity ,"really ad. 真正地,到底,确实",really ,"repeat vt. 重说,重做",repeat ,role n. 角色,role ,Saturday n. 星期六,Saturday ,sentence n.句子,sentence ,"short a. 短的,矮的",short 
postage,postage,"privilege n. 特权,优惠",privilege ,"quarrel n. 吵架,反目,怨言; v. 吵架,争论, 挑剔",quarrel ,"reason vi. 评理, 劝说 n. 理由,原因 ",reason ,replace vt. 取代,replace ,"roll v. 滚动, 打滚 n. 面包圈,小圆面包, 卷状物",roll ,"save vt. 救,挽救,节省",save ,"separate v.使分开,使分离 a.单独的,分开 的",separate ,"shortly adv. 立刻,简短地",shortly 
,,,,,,reasonable a. 合乎情理的,reasonable ,"reply n. 回答,答复",reply ,"roof n. 屋顶,顶部",roof ,"say (said, said) v.说,, 背诵, 念,",say ,separation n. 隔离,separation ,shorts n. 短裤,shorts 
postcard,postcard,"prize n. 奖赏,奖品",prize ,"quarter n. 四分之一,一刻钟",quarter ,receipt n. 收据,receipt ,"report n.& v. 报道,报告",report ,"room n. 房间,室,空间,地方",room ,"scan v.浏览,详细调查 n。浏览",scan ,September n. 九月,September ,"shortcoming n. 缺点,短处",shortcoming 
postman,postman,"probable a. 很可能的,很有希望的】 ",probable ,"queen n. 皇后,女王",queen ,"receive v. 收到,得到",receive ,represent vt. 代表,represent ,"root n. 根,根源,起源",root ,"scar v.留下伤痕,结疤 n 伤痕",scar ,"serious a. 严肃的,严重的,认真的 ",serious ,"shot n. 射击,开炮,子弹 ",shot 
,,,,,,,,,,,,,,"servant n. 仆人,佣人",servant ,"should v. mod. 应该 v. aux. 会,",should 
,,"probably ad. 很可能,大概",probably ,question vt. 询问 n. 问题,question ,receiver n. 电话听筒,receiver ,"representative n. 代表,代理人",representative ,"rope n. 绳,索",rope ,"scare v.惊吓,受惊 n 恐吓",scare ,"serve vt. 招待(顾客等),服务",serve ,"shout n.& v. 喊,高声呼喊",shout 
